,open,high,low,close,volume
20211223,23810,23855,23560,23820,12806276
20211222,23580,23805,23425,23575,13183715
20211221,23275,23495,23010,23360,18304987
20211220,23590,23620,22885,22970,19814859
20211217,23410,23915,23340,23880,12737983
20211216,23860,23990,23470,23780,16515739
20211215,23270,23510,23160,23485,10027378
20211214,23440,23750,23285,23470,15704898
20211213,23960,24525,23725,23795,16837313
20211210,23785,23975,23645,23765,10548504
20211209,23870,24150,23760,24050,15093653
20211208,24100,24415,23705,23850,20600638
20211207,23265,23700,23030,23665,17561848
20211206,22955,23495,22655,23275,21148873
20211203,22615,23340,22500,23210,22543847
20211202,21815,22890,21785,22840,26711706
20211201,21420,22255,21155,22180,26215376
20211130,22395,22545,20780,21165,30652365
20211129,21985,22425,21940,22075,21646091
20211126,23145,23315,22360,22460,27682489
20211125,23700,23740,23220,23315,12599010
20211124,23915,24125,23405,23665,14776639
20211123,24095,24130,23685,23760,11751288
20211122,23445,24210,23335,24170,18044376
20211119,22790,23190,22710,23115,16759421
20211118,22925,23060,22670,22805,12943468
20211117,23620,23665,22910,22990,16491645
20211116,23520,23850,23380,23565,14505262
20211115,23425,23740,23330,23645,12670223
20211112,22940,23285,22760,23130,17722959
20211111,22355,22645,22235,22645,14301496
20211110,22950,23160,22605,22670,19494245
20211109,23055,23505,22895,23155,19059403
20211108,23100,23200,22575,23050,18830942
20211105,23700,23715,22830,23100,22735187
20211104,23475,23745,23220,23310,19770595
20211103,23815,23830,22920,23025,22370085
20211102,23350,24090,23350,23725,19031083
20211101,23200,23315,23050,23125,13732541
20211029,23780,23885,22810,22935,24389422
20211028,23675,23990,23620,23675,13891820
20211027,24065,24125,23630,23795,15653774
20211026,24005,24275,23885,24225,14535394
20211025,23370,23825,23120,23750,14116976
20211022,23365,23705,23315,23525,12771263
20211021,23565,23775,23425,23490,12613191
20211020,23950,24090,23570,23570,14368305
20211019,23655,23850,23530,23775,15625672
20211018,23505,23615,23050,23380,14739272
20211015,23380,23650,23325,23535,19271818
20211014,22790,23070,22720,23050,15016154
20211013,21985,22630,21910,22490,15235196
20211012,22695,22710,21845,22025,24660629
20211008,23120,23190,22740,22825,18653484
20211007,22600,23025,22555,22915,22276511
20211006,23180,23355,22205,22205,30114117
20211005,23250,23365,22515,22905,29829090
20211001,24250,24370,23570,23610,23726053
20210930,24215,24635,24055,24560,18594589
20210929,24340,24590,23900,24365,28915938
20210928,25535,25555,24975,24980,17932982
20210927,25355,25885,25355,25635,12705690
20210924,25685,25850,25410,25490,14965885
20210923,25250,25655,25210,25515,12334253
20210917,25480,25705,25135,25625,15552777
20210916,26105,26145,25395,25505,15631709
20210915,25885,26135,25655,25975,11602317
20210914,25745,26170,25720,25885,13965831
20210913,25180,25710,25165,25540,14352545
